ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
MW756A	Finland	63.4873693	29.4326467	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW759A	Finland	63.58929683	29.53955399	Canis lupus	wild	#643B80	unrelated	KAR	KAR
W14	Finland	63.6614	29.80055	Canis lupus	wild	#643B80	unrelated	KAR	KAR
W43	Finland	63.9461	29.26945	Canis lupus	wild	#643B80	unrelated	KAR	KAR
W63	Finland	64.19328	28.69488	Canis lupus	wild	#643B80	unrelated	KAR	KAR
W100	Finland	64.2512	28.24039	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1047	Finland	64.5861	29.3431518	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW981	Finland	64.5970192	29.3901424	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW746A	Finland	64.65937	28.32856	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW744A	Finland	64.67183	29.07741	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW442	Finland	64.99809	25.69908	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW734A	Finland	65.10894048	29.63221293	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1042	Finland	65.47214	29.72865	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW997	Finland	65.5202578	29.7808303	Canis lupus	wild	#643B80	unrelated	KAR	KAR
W90	Finland	65.63229	29.68094	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1019	Finland	66.59099	29.13842	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1025	Finland	66.6896	28.78461	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1017	Finland	66.76782	28.99474	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW990	Finland	66.8309713	28.6699331	Canis lupus	wild	#643B80	unrelated	KAR	KAR
